year,state_name,ruling_party,hex_code,hexcode_wiki_link
2019,ANDHRA PRADESH,Telugu Desam Party,#FFFF00,https://en.wikipedia.org/wiki/Template:Telugu_Desam_Party/meta/color
2019,ARUNACHAL PRADESH,People's Party of Arunachal,#99b433,https://en.wikipedia.org/wiki/Template:People%27s_Party_of_Arunachal/meta/color
2019,ASSAM,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,BIHAR,Janata Dal (United),#003366,https://en.wikipedia.org/wiki/Template:Janata_Dal_(United)/meta/color
2019,CHANDIGARH,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
2019,DELHI,Aam Aadmi Party,#5bb30e,https://en.wikipedia.org/wiki/Template:Aam_Aadmi_Party/meta/color
2019,GOA,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,GUJARAT,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,HARYANA,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,HIMACHAL PRADESH,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
2019,JAMMU & KASHMIR,,#FFFFFF,
2019,JHARKHAND,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,KARNATAKA,Janata Dal (Secular),#138808,https://en.wikipedia.org/wiki/Template:Janata_Dal_(Secular)/meta/color
2019,KERALA,Communist Party of India (Marxist),#FF0000,https://en.wikipedia.org/wiki/Template:Communist_Party_of_India_(Marxist)/meta/color
2019,MADHYA PRADESH,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
2019,MAHARASHTRA,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,MANIPUR,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,MEGHALAYA,National People's Party,#DB7093,https://en.wikipedia.org/wiki/Template:National_People%27s_Party_(India)/meta/color
2019,MIZORAM,Mizo National Front,#2E5694,https://en.wikipedia.org/wiki/Template:Mizo_National_Front/meta/color
2019,NAGALAND,Nationalist Democratic Progressive Party,#FD4242,https://en.wikipedia.org/wiki/Template:Nationalist_Democratic_Progressive_Party/meta/color
2019,ODISHA,Biju Janata Dal,#006400,https://en.wikipedia.org/wiki/Template:Biju_Janata_Dal/meta/color
2019,PUDUCHERRY,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
2019,PUNJAB,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
2019,RAJASTHAN,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
2019,SIKKIM,Sikkim Democratic Front,#FF9933,https://en.wikipedia.org/wiki/Template:Sikkim_Democratic_Front/meta/color
2019,TAMIL NADU,All India Anna Dravida Munnetra Kazhagam,#009900,https://en.wikipedia.org/wiki/Template:All_India_Anna_Dravida_Munnetra_Kazhagam/meta/color
2019,TELANGANA,Telangana Rashtra Samithi,#FFC0CB,https://en.wikipedia.org/wiki/Template:Telangana_Rashtra_Samithi/meta/color
2019,TRIPURA,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,UTTAR PRADESH,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,UTTARAKHAND,Bharatiya Janata Party,#FF9933,https://en.wikipedia.org/wiki/Template:Bharatiya_Janata_Party/meta/color
2019,WEST BENGAL,All India Trinamool Congress,#00FF00,https://en.wikipedia.org/wiki/Template:All_India_Trinamool_Congress/meta/color
2019,ANDAMAN & NICOBAR,,#FFFFFF,
2019,DADAR & NAGAR HAVELI,,#FFFFFF,
2019,DAMAN & DIU,,#FFFFFF,
2019,LAKSHADWEEP,,#FFFFFF,
2019,PUDUCHERRY,,#FFFFFF,
2019,CHHATTISGARH,Indian National Congress,#00BFFF,https://en.wikipedia.org/wiki/Template:Indian_National_Congress/meta/color
